nom,adresse,cp,ville,departement,telephone,email,site_web
ATLANTIQUE ORTHO,317 route de Toulouse,33140,Villenave D’Ornon,33,05 56 49 09 09,,https://atlantiqueortho.com
PROTEOR MÉRIGNAC,498 avenue de Verdun,33700,Merignac,33,05 56 12 06 86,merignac.sante@proteor.com,http://www.proteor.com
ALBATROS BÈGLES,14 avenue Jeanne d'Arc,33130,Bègles,33,05 56 85 05 09,albatros@albatros-france.fr,https://albatros-france.fr
PROTEOR BORDEAUX,5 allée Newton ZI Bersol,33600,Bordeaux Pessac,33,05 57 26 10 40,bordeaux@proteor.com,http://www.proteor.com
DOMITAL ORTHOPEDIE,ZA JEAN ZAY 3 rue Condorcet,33150,Cenon,33,05 56 40 42 53,,https://www.domital-orthopedie.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (BORDEAUX),144 Avenue du Médoc Centre commercial Le Vigean,33320,Eysines,33,05 56 05 42 26,bordeaux@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-bordeaux/
LAGARRIGUE PESSAC,Parc Biogalien 27 allée Charles Darwin,33600,Pessac,33,05 56 47 60 07,pessac@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE LIBOURNE,147 rue de la Marne,33500,Libourne,33,05 33 03 00 34,libourne@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE COGNAC,35 rue de Bellefonds,16100,Cognac,16,05 45 82 23 07,cognac@groupelagarrigue.com,http://www.lagarrigue.com/
ALBATROS FRANCE,Z.I. de Maury R.N. 113 40 route de Marceau,47130,Port Sainte Marie,47,05 53 95 23 48,albatros@albatros-france.fr,http://www.albatros-france.fr
PROTEOR ANGOULÊME,30 rue Victor Hugo,16400,La Couronne,16,05 49 61 91 01,angouleme@proteor.com,http://www.proteor.com
PROTEOR MONT-DE-MARSAN,3 allée de l'Oranger,40000,Mont-De-Marsan,40,05 58 51 14 68,proteor.montdemarsan@proteor.com,http://www.proteor.com
LAGARRIGUE ANGOULÊME,187 rue de la Tourganier,16000,Angouleme,16,05 45 38 49 62,angouleme@groupelagarrigue.com,http://www.lagarrigue.com/
ALBATROS PÉRIGUEUX,157 avenue du Maréchal Juin,24000,Perigueux,24,05 53 06 96 49,albatros@albatros-france.fr,https://albatros-france.fr
PROTEOR PERIGUEUX,202/204 avenue Michel Grandou,24750,Trelissac,24,05 53 54 36 50,perigueux@proteor.com,http://www.proteor.com
PROTEOR AGEN,39 rue Robespierre,47000,Agen,47,05 53 68 05 64,agen@proteor.com,http://www.proteor.com
LAGARRIGUE AGEN,"852, avenue du Maréchal Leclerc",47000,Agen,47,05 53 98 33 65,agen@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE LA ROCHELLE,55 rue Victor Hugo,17000,La Rochelle,17,05 46 34 79 85,larochelle@groupelagarrigue.com,http://www.lagarrigue.com/
EQUIP'SANTE,14 rue des Greffières,17140,Lagord,17,05 46 34 39 06,NC,http://www.equip-sante.com/
PROTEOR NIORT,493 avenue de Paris,79000,Niort,79,05 49 35 30 30,niort@proteor.com,http://www.proteor.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (ANGLET),3 rue de lestandau,64600,Anglet,64,05 59 31 42 84,anglet@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-anglet/
PROTEOR BAYONNE,4 allée Didier Daurat,64100,Bayonne,64,05 59 70 56 61,bayonne@proteor.com,http://www.proteor.com
PROTEOR BRIVE,34 avenue Ribot,19100,Brive La Gaillarde,19,05 55 17 24 18,brive@proteor.com,http://www.proteor.com
LAGARRIGUE PAU,14 rue Johannes Kepler,64000,Pau,64,NC,pau@groupelagarrigue.com,https://lagarrigue.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (PAU),14 rue Jean Zay,64000,Pau,64,05 59 30 52 43,pau@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/pau-orthodynamic/
LAGARRIGUE,ZAC Golf - 15 Impasse Oihana,64200,Bassussarry,64,NC,bayonne@groupelagarrigue.com,https://lagarrigue.com/
LAGARRIGUE BRIVE-LA-GAILLARDE,23 avenue Maréchal Bugeaud,19100,Brive La Gaillarde,19,05 55 74 31 30,brive@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE LIMOGES,43 rue de la Conque,87000,Limoges,87,05 55 01 25 25,limoges@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR MONTAUBAN,110 rue François Mauriac,82000,Montauban,82,05 63 65 53 45,proteor.montauban@proteor.com,http://www.proteor.com
PROTEOR LIMOGES,5 rue Santos Dumont,87000,Limoges,87,05 87 41 83 03,proteor.limoges@proteor.com,http://www.proteor.com
EQUIP'SANTE,"23, bd de l'Aumônerie",85400,Lucon,85,02 51 27 92 63,NC,http://www.equip-sante.com/
ALBATROS TOULOUSE,Parc Pythagore 109 impasse Thalès - Bat. 17,31620,,31,05 34 52 64 26,albatros@albatros-france.fr,https://albatros-france.fr
OCTO31,4 chemin de la Ménude,31770,Colomiers,31,05 61 84 33 46,,http://www.lagarrigue.com/
PROTEOR POITIERS,116 rue des Artisans ZA de Beaubâton,86550,Mignaloux-Bauvoir,86,05 49 38 87 17,poitiers@proteor.com,http://www.proteor.com
CAP ORTHOPEDIE,4 rue Albert Einstein Parc Numérimer,85340,Les Sables D'Olonne,85,02 51 32 57 38,accueil@cap-orthopedie.com,https://www.cap-orthopedie.com
ORTHO EVOLUTION,7 rue Isabelle Eberhardt,31200,Toulouse,31,05 32 09 71 23,orthoevolution31@gmail.com,https://ortho-evolution.fr/
APPAREILLAGES SUD PROTHESE,7 rue Isabelle Eberhardt,31000,Toulouse,31,05 61 13 06 67,,
LAGARRIGUE TOULOUSE,50-56-58 Chemin Baluffet ZI Baluffet,31300,Toulouse,31,05 61 49 30 31,toulouse@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR TOULOUSE,5 Rue Roger Camboulives ZA de Basso Combo,31100,Toulouse,31,05 61 40 49 18,toulouse@proteor.com,http://www.proteor.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (TOULOUSE),HELIOPOLE Bât. D 33-43 avenue Georges Pompidou,31130,Balma,31,05 61 12 29 70,toulouse@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/toulouse-ottobock-orthopedie/
EQUIP' SANTE,2 rue René Coty,85000,La Roche S/Yon,85,02 51 37 07 72,NC,http://www.equip-sante.com
LAGARRIGUE,2 Rue René Coty,85000,La Roche-Sur-Yon,85,02 51 36 09 15,larochesuryon@lagarrigue.com,https://lagarrigue.com/
PROTEOR LA ROCHE-SUR-YON,1 bis rue Haxo,85000,La Roche-Sur-Yon,85,02 52 43 08 07,larochesuryon@proteor.com,http://www.proteor.com
APPAREILLAGE PROTHESE ORTHOPEDIE,54 ter avenue Jacques Douzans,31600,Muret,31,05 62 23 03 44,,
OXILIUM,5 Avenue Vialas,81370,Saint Sulpice La Pointe,81,,info@,http://www.oxilium-orthoprothesiste.fr
LAGARRIGUE ALBI,Rue François Arago,81000,Albi,81,05 63 45 48 25,albi@groupelagarrigue.com,http://www.lagarrigue.com/
ORTEA,"210, rue des Charpentiers ZA Bel Air",12000,Rodez,12,,info@,http://
AVEYRON ORTHOPEDIE,6 avenue de Rodez,12510,Olemps,12,05 65 68 23 42,,
